column 1,column 2
673,5.42e-10
674,5.43e-10
675,5.43e-10
676,5.43e-10
677,5.43e-10
678,5.44e-10
679,5.44e-10
680,5.44e-10
681,5.45e-10
682,5.45e-10
683,5.45e-10
684,5.45e-10
685,5.46e-10
686,5.46e-10
687,5.46e-10
688,5.46e-10
689,5.47e-10
690,5.47e-10
691,5.47e-10
692,5.47e-10
693,5.48e-10
694,5.48e-10
695,5.48e-10
696,5.49e-10
697,5.49e-10
698,5.49e-10
699,5.49e-10
700,5.50e-10
701,5.50e-10
702,5.50e-10
703,5.50e-10
704,5.51e-10
705,5.51e-10
706,5.51e-10
707,5.51e-10
708,5.52e-10
709,5.52e-10
710,5.52e-10
711,5.52e-10
712,5.53e-10
713,5.53e-10
714,5.53e-10
715,5.53e-10
716,5.54e-10
717,5.54e-10
718,5.54e-10
719,5.54e-10
720,5.55e-10
721,5.55e-10
722,5.55e-10
723,5.55e-10
724,5.56e-10
725,5.56e-10
726,5.56e-10
727,5.56e-10
728,5.57e-10
729,5.57e-10
730,5.57e-10
731,5.57e-10
732,5.58e-10
733,5.58e-10
734,5.58e-10
735,5.58e-10
736,5.58e-10
737,5.59e-10
738,5.59e-10
739,5.59e-10
740,5.59e-10
741,5.60e-10
742,5.60e-10
743,5.60e-10
744,5.60e-10
745,5.61e-10
746,5.61e-10
747,5.61e-10
748,5.61e-10
749,5.61e-10
750,5.62e-10
751,5.62e-10
752,5.62e-10
753,5.62e-10
754,5.63e-10
755,5.63e-10
756,5.63e-10
757,5.63e-10
758,5.64e-10
759,5.64e-10
760,5.64e-10
761,5.64e-10
762,5.64e-10
763,5.65e-10
764,5.65e-10
765,5.65e-10
766,5.65e-10
767,5.66e-10
768,5.66e-10
769,5.66e-10
770,5.66e-10
771,5.66e-10
772,5.67e-10
773,5.67e-10
774,5.67e-10
775,5.67e-10
776,5.68e-10
777,5.68e-10
778,5.68e-10
779,5.68e-10
780,5.68e-10
781,5.69e-10
782,5.69e-10
783,5.69e-10
784,5.69e-10
785,5.69e-10
786,5.70e-10
787,5.70e-10
788,5.70e-10
789,5.70e-10
790,5.70e-10
791,5.71e-10
792,5.71e-10
793,5.71e-10
794,5.71e-10
795,5.72e-10
796,5.72e-10
797,5.72e-10
798,5.72e-10
799,5.72e-10
800,5.73e-10
801,5.73e-10
802,5.73e-10
803,5.73e-10
804,5.73e-10
805,5.74e-10
806,5.74e-10
807,5.74e-10
808,5.74e-10
809,5.74e-10
810,5.75e-10
811,5.75e-10
812,5.75e-10
813,5.75e-10
814,5.75e-10
815,5.76e-10
816,5.76e-10
817,5.76e-10
818,5.76e-10
819,5.76e-10
820,5.77e-10
821,5.77e-10
822,5.77e-10
823,5.77e-10
824,5.77e-10
825,5.78e-10
826,5.78e-10
827,5.78e-10
828,5.78e-10
829,5.78e-10
830,5.79e-10
831,5.79e-10
832,5.79e-10
833,5.79e-10
834,5.79e-10
835,5.79e-10
836,5.80e-10
837,5.80e-10
838,5.80e-10
839,5.80e-10
840,5.80e-10
841,5.81e-10
842,5.81e-10
843,5.81e-10
844,5.81e-10
845,5.81e-10
846,5.82e-10
847,5.82e-10
848,5.82e-10
849,5.82e-10
850,5.82e-10
851,5.82e-10
852,5.83e-10
853,5.83e-10
854,5.83e-10
855,5.83e-10
856,5.83e-10
857,5.84e-10
858,5.84e-10
859,5.84e-10
860,5.84e-10
861,5.84e-10
862,5.84e-10
863,5.85e-10
864,5.85e-10
865,5.85e-10
866,5.85e-10
867,5.85e-10
868,5.86e-10
869,5.86e-10
870,5.86e-10
871,5.86e-10
872,5.86e-10
873,5.86e-10
874,5.87e-10
875,5.87e-10
876,5.87e-10
877,5.87e-10
878,5.87e-10
879,5.87e-10
880,5.88e-10
881,5.88e-10
882,5.88e-10
883,5.88e-10
884,5.88e-10
885,5.88e-10
886,5.89e-10
887,5.89e-10
888,5.89e-10
889,5.89e-10
890,5.89e-10
891,5.90e-10
892,5.90e-10
893,5.90e-10
894,5.90e-10
895,5.90e-10
896,5.90e-10
897,5.91e-10
898,5.91e-10
899,5.91e-10
900,5.91e-10
901,5.91e-10
902,5.91e-10
903,5.92e-10
904,5.92e-10
905,5.92e-10
906,5.92e-10
907,5.92e-10
908,5.92e-10
909,5.93e-10
910,5.93e-10
911,5.93e-10
912,5.93e-10
913,5.93e-10
914,5.93e-10
915,5.93e-10
916,5.94e-10
917,5.94e-10
918,5.94e-10
919,5.94e-10
920,5.94e-10
921,5.94e-10
922,5.95e-10
923,5.95e-10
924,5.95e-10
925,5.95e-10
926,5.95e-10
927,5.95e-10
928,5.96e-10
929,5.96e-10
930,5.96e-10
931,5.96e-10
932,5.96e-10
933,5.96e-10
934,5.97e-10
935,5.97e-10
936,5.97e-10
937,5.97e-10
938,5.97e-10
939,5.97e-10
940,5.97e-10
941,5.98e-10
942,5.98e-10
943,5.98e-10
944,5.98e-10
945,5.98e-10
946,5.98e-10
947,5.98e-10
948,5.99e-10
949,5.99e-10
950,5.99e-10
951,5.99e-10
952,5.99e-10
953,5.99e-10
954,6.00e-10
955,6.00e-10
956,6.00e-10
957,6.00e-10
958,6.00e-10
959,6.00e-10
960,6.00e-10
961,6.01e-10
962,6.01e-10
963,6.01e-10
964,6.01e-10
965,6.01e-10
966,6.01e-10
967,6.01e-10
968,6.02e-10
969,6.02e-10
970,6.02e-10
971,6.02e-10
972,6.02e-10
973,6.02e-10
974,6.03e-10
975,6.03e-10
976,6.03e-10
